route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
527-4841,527,"Orion - Goodna Station via Camira",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/527,E463A4,1D1D1D
528-4841,528,"Orion - Springfield Station via Springfield Lakes",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/528,E463A4,1D1D1D
529-4841,529,"Toogoolawah - Ipswich",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/529,E463A4,1D1D1D
531-4841,531,"Springfield - Yamanto via Ripley Valley",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/531,E463A4,1D1D1D
533-4841,533,"Spring Mountain Loop",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/533,E463A4,1D1D1D
534-4827,534,"Browns Plains - Orion Springfield Central",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/534,E463A4,1D1D1D
534-5164,534,"Browns Plains - Orion Springfield Central",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/534,E463A4,1D1D1D
535-4827,535,"Flagstone - Browns Plains",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/535,E463A4,1D1D1D
535-5164,535,"Flagstone - Browns Plains",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/535,E463A4,1D1D1D
539-5020,539,"Helidon - Rosewood",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/539,E463A4,1D1D1D
540-4827,540,"Beaudesert - Browns Plains",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/540,E463A4,1D1D1D
540-5164,540,"Beaudesert - Browns Plains",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/540,E463A4,1D1D1D
541-4827,541,"Greenbank - Browns Plains via Boronia Heights",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/541,E463A4,1D1D1D
541-5164,541,"Greenbank - Browns Plains via Boronia Heights",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/541,E463A4,1D1D1D
542-4827,542,"Browns Plains - Park Ridge",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/542,E463A4,1D1D1D
542-5164,542,"Browns Plains - Park Ridge",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/542,E463A4,1D1D1D
543-4827,543,"Browns Plains - Heritage Park",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/543,E463A4,1D1D1D
543-5164,543,"Browns Plains - Heritage Park",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/543,E463A4,1D1D1D
545-4827,545,"Browns Plains - Griffiths University",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/545,E463A4,1D1D1D
545-5164,545,"Browns Plains - Griffiths University",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/545,E463A4,1D1D1D
546-4827,546,"Park Ridge - City via Greenbank & Griffith Uni",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/546,E463A4,1D1D1D
546-5164,546,"Park Ridge - City via Greenbank & Griffith Uni",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/546,E463A4,1D1D1D
547-4827,547,"Browns Plains - Woodridge",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/547,E463A4,1D1D1D
547-5164,547,"Browns Plains - Woodridge",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/547,E463A4,1D1D1D
550-4985,550,"Springwood - Browns Plains",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/550,E463A4,1D1D1D
550-5153,550,"Springwood - Browns Plains",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/550,E463A4,1D1D1D
551-4985,551,"Brisbane City - Crestmead",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/551,E463A4,1D1D1D
